CONUS_10KM,LONG,LAT
77979,-100.980899888,40.5629400543
77980,-100.861949961,40.5675613578
77981,-100.742984785,40.572071068
77982,-100.624004729,40.5764691629
77983,-100.505010164,40.5807556208
77984,-100.38600146,40.584930421
77985,-100.266978989,40.5889935426
77986,-100.147943121,40.5929449653
77987,-100.028894228,40.5967846699
77988,-99.9098326811,40.6005126377
77989,-99.790758852,40.6041288499
77990,-99.6716731129,40.6076332892
77991,-99.5525758361,40.6110259372
77992,-99.4334673936,40.6143067784
77993,-99.314348159,40.6174757962
77994,-99.1952185044,40.6205329748
77995,-99.0760788034,40.6234782991
77996,-98.9569294287,40.6263117543
77997,-98.8377707545,40.6290333269
77998,-98.718603154,40.6316430029
77999,-98.5994270011,40.6341407698
78000,-98.4802426699,40.6365266154
78001,-98.3610505338,40.6388005274
78002,-98.241850968,40.6409624944
78003,-98.1226443463,40.6430125066
78004,-98.0034310434,40.6449505528
78005,-97.8842114338,40.6467766244
78006,-97.7649858926,40.6484907117
78007,-97.6457547949,40.6500928063
78008,-97.5265185145,40.6515829002
78009,-97.4072774271,40.6529609861
78010,-97.2880319087,40.654227057
78011,-97.1687823343,40.6553811071
78012,-97.0495290789,40.6564231306
78013,-96.9302725183,40.6573531218
78014,-96.8110130268,40.6581710764
78015,-96.6917509812,40.6588769907
78016,-96.5724867565,40.6594708606
78017,-96.4532207282,40.659952683
78018,-96.3339532728,40.6603224566
78019,-96.2146847652,40.6605801786
78020,-96.0954155814,40.6607258479
78021,-95.9761460971,40.660759464
78022,-95.8568766876,40.6606810264
78023,-95.7376077291,40.660490536
78433,-102.058284889,40.6054268942
78434,-101.939340714,40.6110588243
78435,-101.820377904,40.6165792415
78436,-101.701396827,40.6219881178
78437,-101.582397852,40.6272854271
78438,-101.463381349,40.6324711436
78439,-101.344347686,40.6375452411
78440,-101.225297234,40.6425076947
78441,-101.106230363,40.6473584805
78442,-100.987147443,40.6520975739
78443,-100.868048845,40.6567249516
78444,-100.748934941,40.661240591
78445,-100.629806101,40.6656444697
78446,-100.510662698,40.669936566
78447,-100.391505103,40.6741168585
78448,-100.272333688,40.6781853264
78449,-100.153148826,40.6821419499
78450,-100.033950889,40.6859867095
78451,-99.9147402511,40.6897195857
78452,-99.7955172846,40.69334056
78453,-99.6762823636,40.6968496153
78454,-99.5570358612,40.7002467329
78455,-99.4377781517,40.7035318968
78456,-99.3185096088,40.7067050909
78457,-99.1992306071,40.709766299
78458,-99.0799415209,40.7127155058
78459,-98.9606427246,40.7155526967
78460,-98.8413345937,40.718277858
78461,-98.7220175028,40.7208909757
78462,-98.6026918272,40.7233920372
78463,-98.4833579423,40.7257810299
78464,-98.3640162233,40.7280579419
78465,-98.2446670462,40.7302227615
78466,-98.1253107873,40.7322754787
78467,-98.0059478213,40.734216083
78468,-97.8865785254,40.7360445645
78469,-97.7672032752,40.7377609141
78470,-97.6478224472,40.7393651236
78471,-97.5284364174,40.7408571845
78472,-97.4090455627,40.74223709
78473,-97.2896502599,40.7435048327
78474,-97.1702508859,40.7446604065
78475,-97.0508478171,40.745703806
78476,-96.9314414301,40.7466350253
78477,-96.8120321019,40.74745406
78478,-96.6926202097,40.7481609067
78479,-96.5732061299,40.7487555609
78480,-96.4537902405,40.7492380198
78481,-96.3343729176,40.7496082815
78482,-96.2149545389,40.7498663441
78483,-96.0955354813,40.7500122056
78484,-95.9761161219,40.7500458663
78485,-95.8566968383,40.7499673249
78896,-102.065886676,40.6945282046
78897,-101.946794041,40.7001675447
78898,-101.8276827,40.7056952266
78899,-101.708553024,40.7111112233
78900,-101.589405382,40.7164155079
78901,-101.470240145,40.7216080544
78902,-101.351057685,40.7266888365
78903,-101.231858373,40.7316578297
78904,-101.112642579,40.7365150093
78905,-100.993410676,40.7412603508
78906,-100.874163037,40.745893831
78907,-100.754900033,40.7504154266
78908,-100.635622038,40.7548251153
78909,-100.516329424,40.7591228758
78910,-100.397022564,40.7633086857
