SITE,DEPLOYMENT,NIGHT,SPECIES,COUNT,MLE
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-27,LABO,6.0,6.39e-5
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-27,LACI,59.0,0.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-27,LANO,102.0,0.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-27,MYCI,0.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-27,MYLU,0.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-27,MYSE,0.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-27,MYTH,0.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-27,MYVO,5.0,7.684e-4
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-28,EPFU,9.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-28,LABO,0.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-28,LACI,30.0,0.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-28,LANO,155.0,0.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-28,MYCI,0.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-28,MYLU,0.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-28,MYSE,0.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-28,MYTH,0.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-28,MYVO,2.0,0.0538368
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-29,EPFU,2.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-29,LABO,2.0,0.14444100000000001
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-29,LACI,40.0,0.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-29,LANO,87.0,0.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-29,MYCI,0.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-29,MYLU,0.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-29,MYSE,0.0,1.0
