CONUS_10KM,bedrock
86755,365200.9540043446
77048,40858.64745502987
81219,11274.504275115227
82595,130503.3080096149
81666,268950.7769921293
81201,347153.1024787986
80741,238768.61816963108
86760,212615.53583375222
84905,140302.57879697395
86775,30655.677153110275
81221,7307.3322882160855
79822,41815.89864084914
77047,42229.525491021974
80288,17373.66931762003
78909,14060.053689825396
83527,34528.85306105966
85835,85740.93577877512
83535,19139.62331094141
77049,38283.63119376957
81202,314564.74230382394
86299,102233.02982949773
86313,25195.151362008164
76130,22408.977172369374
85830,224434.08087787026
75668,25294.619678752537
78898,46145.900386253896
79828,8328.116317184307
86307,28775.181233948144
86762,151682.19575113416
80293,4518.343839779136
85381,26104.87055744754
84903,258072.66083571874
76121,42097.397160723434
77972,50071.91608424445
82140,28021.171331995505
83988,47118.36481758973
83533,22784.14176075516
78901,22961.234168466937
79365,11890.68540817933
83976,351375.7409535626
81210,59375.21480493935
85842,26655.054625565845
86777,22424.27218524148
85363,331291.4104369588
77979,21933.174504417988
80761,5006.887973728361
86308,30893.06319850405
77970,60595.6122879194
83993,24118.70167924502
83521,107376.62030411344
81218,12596.209286011934
86304,27444.888480844565
77507,53612.92243117058
83059,99979.32164194286
84447,70189.7256983022
85855,10618.819798044884
80760,6116.798383649956
79363,22272.322386922275
80754,10275.92821336482
86296,167080.25091370815
77974,39050.64338402868
79829,7318.185089817947
79359,40844.42215238205
82613,6727.384233881412
83516,237552.86678834425
85378,29425.492164024352
81217,11643.16987001622
84929,8125.156990366588
77512,36117.20741287124
80734,566034.9245628646
78440,20297.1772429956
80290,8570.045966127778
86767,23556.803739884523
76128,24421.974783965765
82124,516190.6537858732
76593,21961.669852088096
83981,137051.07341258434
84927,10467.609524446814
84924,23392.14281382807
76126,32643.26620449258
82596,104856.43826474495
80744,113198.54616823551
77975,32860.2048477665
83070,20576.44055875587
84899,351242.6291617182
86295,173529.8409038623
85370,105318.29953638435
76122,42716.795110827734
78904,12671.74109421281
82136,61511.73064601712
84911,48523.30680881571
86305,26073.602053279632
81685,7018.466721149815
77519,19010.529275249857
77982,18508.476460711958
82592,239677.1269334695
83055,217907.72656235905
83532,23775.104305340406
85834,114100.06586021451
82133,107329.31767650139
79824,20394.96308765183
78903,16143.33328641295
77516,24238.11094514903
78907,15095.931467823119
75655,38444.622694876445
80758,8381.09642083487
84907,93116.00549733356
84438,340060.1964256285
79835,9757.114324262502
83524,65860.37513861989
