CONUS10k,Tree_TCA,Tree_CONNECT_,Tree_CLUMPY,Tree_NDCA,Water_CLUMPY,Water_CA,Developed_CA
81661,0.0,13.3333,0.2324,0.0,0.7799,2.79,254.7
81662,0.0,6.6667,0.2499,0.0,1.0,0.45,253.89
81663,0.0,9.5238,0.3636,0.0,NA,NA,199.71
81664,1.8,10.5263,0.5025,5.0,0.5833,0.81,250.65
81665,7.11,5.7928,0.5048,14.0,0.8235,1.08,265.05
81666,0.0,4.5587,0.2089,0.0,0.8,1.26,508.95
81667,0.27,4.3098,0.3732,3.0,0.7434,6.03,663.48
81668,0.18,8.405,0.4062,2.0,0.8979,2.7,235.35
81669,0.54,13.6471,0.4913,3.0,0.7142,3.42,193.68
81670,0.0,4.7101,0.2703,0.0,0.6427,5.13,233.37
81671,0.09,1.2821,0.3156,1.0,NA,NA,193.32
81672,0.0,2.381,0.1331,0.0,0.685,5.58,213.57
81673,0.63,4.2512,0.4343,3.0,0.6375,9.27,208.8
81674,10.35,3.1414,0.4502,48.0,NA,NA,142.47
81675,14.67,3.096,0.4896,26.0,0.9504,266.67,164.34
81676,17.82,2.6096,0.5007,34.0,0.987,3268.17,91.98
81677,3.51,4.9833,0.4461,16.0,0.9892,4827.24,137.07
81678,51.66,2.497,0.6037,68.0,0.9553,917.28,231.84
81679,28.53,7.3557,0.5868,38.0,0.5555,1.62,25.47
81680,0.0,0.0,0.2,0.0,NA,NA,NA
81681,0.0,43.6364,0.3998,0.0,-1.0,0.18,NA
81682,0.09,0.0,0.8667,1.0,NA,NA,1.44
81683,4.14,8.0936,0.395,8.0,0.6339,73.44,91.8
81684,NA,NA,NA,NA,NA,NA,11.88
81685,0.0,29.5796,0.3851,0.0,0.8153,6.66,36.81
81686,0.0,10.7143,0.3749,0.0,NA,NA,53.55
81687,0.0,10.7143,0.2777,0.0,NA,NA,65.88
81688,0.09,17.8571,0.4686,1.0,NA,0.09,58.77
81689,0.0,8.1421,0.2812,0.0,0.4209,2.16,116.46
81690,10.53,3.0,0.4889,25.0,0.0666,0.99,222.21
81691,30.42,2.6605,0.562,52.0,0.634,4.32,172.53
81692,127.71,1.5546,0.5831,137.0,0.5535,6.66,360.18
81693,175.77,1.1836,0.5496,305.0,0.3449,9.54,176.94
81694,40.77,1.3104,0.4823,132.0,0.7291,18.99,214.47
81695,29.7,1.7272,0.489,90.0,-1.0,0.27,257.58
81696,38.07,1.5216,0.5192,63.0,-1.0,0.81,305.64
81697,10.89,1.44,0.4383,44.0,0.4309,3.15,316.71
81698,50.76,1.2,0.5629,75.0,0.2221,1.62,220.05
81699,53.37,1.3657,0.5132,118.0,0.8356,87.03,216.72
81700,79.29,1.3765,0.556,107.0,0.8552,153.63,223.11
81701,46.89,1.5885,0.4942,130.0,0.9535,1050.12,267.75
81702,59.31,1.4663,0.5698,123.0,0.3769,8.01,319.59
81703,336.42,1.3251,0.6663,239.0,0.8419,197.01,317.88
81704,24.3,1.0703,0.4728,59.0,0.6965,28.53,286.29
81705,79.2,1.1312,0.5649,150.0,0.283,6.48,283.5
81706,294.93,1.1632,0.6543,216.0,0.4405,9.72,219.33
81707,393.03,1.1863,0.6147,352.0,0.3896,18.81,268.65
81708,640.98,1.5111,0.6805,347.0,0.8142,303.84,458.64
81709,373.41,1.4728,0.7031,189.0,0.875,400.05,275.04
81710,159.57,1.7913,0.6909,99.0,0.7679,130.14,238.59
81711,138.87,2.8274,0.7405,59.0,0.8675,84.33,216.45
81712,389.7,2.1484,0.7679,117.0,0.916,400.59,377.91
81713,285.12,1.4387,0.734,117.0,0.8949,522.54,366.03
81714,549.27,1.5246,0.7937,139.0,0.8903,637.92,294.57
81715,542.25,1.6083,0.7902,119.0,0.9274,474.93,239.4
81716,399.78,2.0835,0.734,179.0,0.9114,550.08,326.43
81717,454.77,1.2318,0.7366,190.0,0.7399,21.33,306.0
81718,318.33,1.3025,0.7802,75.0,0.6881,12.78,271.08
81719,3.15,2.1542,0.4516,12.0,0.8571,0.54,233.64
81720,67.68,1.4723,0.6868,50.0,0.9227,81.99,329.58
81721,381.6,2.153,0.7271,177.0,0.8591,904.41,657.27
81722,529.92,1.5391,0.767,160.0,0.7761,217.71,368.55
81723,64.44,1.1543,0.5528,116.0,0.6684,59.4,630.0
81724,72.27,0.9809,0.5323,155.0,0.9317,206.01,753.48
81725,2134.35,1.8044,0.7626,385.0,0.8847,367.11,1043.55
