CONUS_10KM,ridge_HA
80284,8.728500000000102
80285,10.79160000000011
80286,12.219900000000012
80287,14.89885073980101
80288,19.54361916849071
80289,51.003452329589386
80290,63.95610000000105
80291,68.39970000000105
80292,75.59410000000129
80293,90.67060000000143
80294,107.54570000000136
80295,125.90199979918123
80296,134.57760000000223
80297,139.7618000000024
80298,138.5980000000024
80299,140.3858175875778
80300,141.29590000000286
80301,141.40170000000282
80302,139.70890000000293
80303,140.38234399381318
80304,134.89500000000197
80305,130.98040000000177
80306,119.76926308985979
80307,99.9810000000016
80308,87.49660000000159
80309,74.49098693068932
80310,51.57750000000137
80311,31.7143809221135
80312,22.195768787813602
80313,11.7967000000002
80314,7.1944
80315,2.9095
80316,2.645
80317,2.2218
80318,2.116
80319,1.7986
80320,1.6928
80321,1.7457
80322,1.4812
80323,1.3225
80324,1.4283000000000001
80325,1.6399000000000001
80326,1.7986
80327,1.3225
80328,2.5920999999999
80329,12.431499999999945
80330,16.822199999999846
80331,21.424499999999746
80332,23.752099999999746
80333,25.762299999999744
80334,29.888499999999745
80335,32.004499999999744
80336,32.427699999999746
80337,32.321899999999744
80734,188.67668343924342
90933,445.55824123801284
90934,457.5285739958266
90935,449.8395787777005
90936,434.27575490895026
90937,394.30199223232677
90938,366.78991923601166
90939,342.9142103963083
91383,527.4342356800969
91384,531.4247261006652
91385,558.6646658632492
91386,585.988861217444
91387,617.6731190062492
91388,686.4925776688629
83107,18.462099999999662
83108,20.57809999999966
83109,23.79385551093886
83110,25.07459999999966
83111,25.60359999999966
83112,28.036999999999665
83113,28.724699999999665
83510,294.1007623748381
83511,283.5439999589346
83512,270.58389458462693
83513,259.6663816860315
83514,253.28584967872612
83515,244.82119995893572
83516,240.58919995893564
83517,237.52099995893562
83518,231.5961999589356
83519,224.29599995893582
83520,206.99769995893533
83521,187.52558683484722
83522,134.8044992534029
83523,114.36979999999984
83524,74.00709999999985
83525,33.64439486150376
83526,15.73537929069626
83527,12.4844000000002
83528,11.796700000000001
83529,10.897400000000001
83530,6.7183
83531,6.7183
83532,7.4059999999999
83533,12.061199309998438
83534,27.516697650306533
83535,42.73093250556743
83536,58.63842119577304
83537,69.20365710130025
83538,79.45579933587157
83539,83.62862640537458
83540,85.22189933587218
83541,86.59729933587226
83542,86.59729933587226
83543,85.15356336984868
83544,66.08534822257103
83545,62.47489933587186
83546,62.84519933587186
83547,62.89809933587186
83548,62.625405905663385
83549,60.67629933587136
83550,56.23270002587247
83551,46.28750002587178
83552,34.59660000000161
83553,20.049100000001353
83554,15.922900000000821
83555,12.80180000000062
83556,9.36330000000062
83557,8.04080000000062
83558,6.45380000000002
83559,5.71320000000002
83560,4.39070000000002
83561,2.27470000000002
83562,2.33178444565166
83563,1.90439999999966
83564,1.58699999999966
83565,1.69279999999966
83566,1.58699999999966
83567,2.80369999999966
83568,5.34289999999966
83569,12.80179999999966
