FID_NAbat_,CONUS_10KM
104.0,75656.0
781.0,81209.0
999.0,82610.0
221.0,76587.0
1e3,82611.0
108.0,75660.0
1111.0,83513.0
386.0,77976.0
57.0,75203.0
1327.0,84917.0
927.0,82144.0
223.0,76589.0
779.0,81207.0
1641.0,87222.0
55.0,75201.0
770.0,81198.0
846.0,81668.0
1447.0,85831.0
549.0,79368.0
1382.0,85368.0
1245.0,84439.0
929.0,82146.0
1318.0,84908.0
850.0,81672.0
857.0,81679.0
1383.0,85369.0
1068.0,83074.0
220.0,76586.0
909.0,82126.0
1399.0,85385.0
390.0,77980.0
331.0,77513.0
1581.0,86763.0
552.0,79371.0
837.0,81659.0
926.0,82143.0
438.0,78437.0
490.0,78899.0
1467.0,85851.0
1468.0,85852.0
215.0,76581.0
1576.0,86758.0
772.0,81200.0
647.0,80285.0
1260.0,84454.0
906.0,82123.0
1203.0,84001.0
1271.0,84465.0
1311.0,84901.0
159.0,76118.0
862.0,81684.0
928.0,82145.0
271.0,77045.0
1574.0,86756.0
841.0,81663.0
393.0,77983.0
776.0,81204.0
847.0,81669.0
1376.0,85362.0
657.0,80295.0
445.0,78444.0
218.0,76584.0
1404.0,85390.0
1331.0,84921.0
859.0,81681.0
1201.0,83999.0
1312.0,84902.0
550.0,79369.0
986.0,82597.0
496.0,78905.0
1124.0,83526.0
1251.0,84445.0
1330.0,84920.0
908.0,82125.0
164.0,76123.0
995.0,82606.0
1136.0,83538.0
338.0,77520.0
112.0,75664.0
113.0,75665.0
1594.0,86776.0
1191.0,83989.0
1128.0,83530.0
1270.0,84464.0
1465.0,85849.0
1199.0,83997.0
1252.0,84446.0
911.0,82128.0
56.0,75202.0
1378.0,85364.0
646.0,80284.0
1402.0,85388.0
53.0,75199.0
602.0,79831.0
836.0,81658.0
1640.0,87221.0
976.0,82587.0
551.0,79370.0
991.0,82602.0
708.0,80742.0
1332.0,84922.0
226.0,76592.0
975.0,82586.0
1464.0,85848.0
497.0,78906.0
1121.0,83523.0
54.0,75200.0
1046.0,83052.0
1179.0,83977.0
777.0,81205.0
1181.0,83979.0
1115.0,83517.0
701.0,80735.0
997.0,82608.0
1338.0,84928.0
1137.0,83539.0
977.0,82588.0
1577.0,86759.0
1126.0,83528.0
1507.0,86290.0
1571.0,86753.0
1400.0,85386.0
1048.0,83054.0
930.0,82147.0
1043.0,83049.0
270.0,77044.0
996.0,82607.0
1198.0,83996.0
1117.0,83519.0
1269.0,84463.0
998.0,82609.0
1200.0,83998.0
1335.0,84925.0
1634.0,87215.0
487.0,78896.0
994.0,82605.0
990.0,82601.0
706.0,80740.0
1267.0,84461.0
1176.0,83974.0
767.0,81195.0
1266.0,84460.0
978.0,82589.0
1066.0,83072.0
980.0,82591.0
437.0,78436.0
1059.0,83065.0
1192.0,83990.0
1639.0,87220.0
704.0,80738.0
1070.0,83076.0
444.0,78443.0
1058.0,83064.0
925.0,82142.0
705.0,80739.0
1177.0,83975.0
1637.0,87218.0
1401.0,85387.0
1636.0,87217.0
1272.0,84466.0
1182.0,83980.0
1109.0,83511.0
1047.0,83053.0
1116.0,83518.0
1108.0,83510.0
1333.0,84923.0
1242.0,84436.0
1527.0,86310.0
1510.0,86293.0
931.0,82148.0
979.0,82590.0
1511.0,86294.0
865.0,81687.0
1052.0,83058.0
1509.0,86292.0
1175.0,83973.0
860.0,81682.0
993.0,82604.0
1635.0,87216.0
317.0,77091.0
1275.0,84469.0
936.0,82153.0
561.0,79380.0
730.0,80764.0
1489.0,85873.0
1155.0,83557.0
812.0,81240.0
1022.0,82633.0
1543.0,86326.0
733.0,80767.0
935.0,82152.0
1348.0,84938.0
1079.0,83085.0
1146.0,83548.0
1344.0,84934.0
1416.0,85402.0
1009.0,82620.0
75.0,75221.0
1566.0,86349.0
1483.0,85867.0
1349.0,84939.0
1421.0,85407.0
1098.0,83104.0
1355.0,84945.0
874.0,81696.0
30.0,74771.0
1601.0,86783.0
1418.0,85404.0
617.0,79846.0
885.0,81707.0
1150.0,83552.0
1081.0,83087.0
144.0,75696.0
957.0,82174.0
1487.0,85871.0
758.0,80792.0
285.0,77059.0
1156.0,83558.0
232.0,76598.0
1013.0,82624.0
68.0,75214.0
1289.0,84483.0
1551.0,86334.0
799.0,81227.0
397.0,77987.0
1354.0,84944.0
1486.0,85870.0
1409.0,85395.0
1428.0,85414.0
74.0,75220.0
641.0,79870.0
1279.0,84473.0
316.0,77090.0
1147.0,83549.0
1474.0,85858.0
1169.0,83571.0
1302.0,84496.0
1429.0,85415.0
1082.0,83088.0
674.0,80312.0
877.0,81699.0
586.0,79405.0
820.0,81248.0
892.0,81714.0
1485.0,85869.0
619.0,79848.0
