file,ZCA,thisDate,start_Time,end_Time,errors,btryDead,warnings,buffer,first_btry,last_btry,mean_temp,min_temp,mid_n_temp
F:/2015 ZCA Files/NLH_2/NLH_2_SE_987D/SN314218 2015-07-18 log.csv,a:/SN314218 2015-07-18.zca,2015-07-18,20:23:18,06:37:52,0,NA,0,0,12:00:00,06:35:19,2381.0,2250.0,2312.0
F:/2015 ZCA Files/NLH_2/NLH_2_SE_987D/SN314218 2015-07-19 log.csv,a:/SN314218 2015-07-19.zca,2015-07-19,20:22:35,06:38:43,0,NA,0,0,12:00:00,06:34:33,2335.0,2250.0,2250.0
F:/2015 ZCA Files/NLH_2/NLH_2_SE_987D/SN314218 2015-07-20 log.csv,a:/SN314218 2015-07-20.zca,2015-07-20,20:21:50,02:50:37,1,02:50:37,1,0,12:00:00,02:50:37,2001.0,1750.0,1912.0
F:/2015 ZCA Files/NLH_2/NLH_2_SW_988B/SN314111 2015-07-13 log.csv,a:/SN314111 2015-07-13.zca,2015-07-13,20:26:49,06:34:04,0,NA,0,0,18:13:36,06:33:49,2184.0,1950.0,2212.0
F:/2015 ZCA Files/NLH_2/NLH_2_SW_988B/SN314111 2015-07-14 log.csv,a:/SN314111 2015-07-14.zca,2015-07-14,20:26:16,06:34:51,0,NA,0,0,12:00:00,06:33:15,2522.0,2375.0,2469.0
F:/2015 ZCA Files/NLH_2/NLH_2_SW_988B/SN314111 2015-07-15 log.csv,a:/SN314111 2015-07-15.zca,2015-07-15,20:25:41,06:35:39,0,NA,1,1,12:00:00,06:32:38,2325.0,2150.0,2431.0
F:/2015 ZCA Files/NLH_2/NLH_2_SW_988B/SN314111 2015-07-16 log.csv,a:/SN314111 2015-07-16.zca,2015-07-16,20:25:04,06:36:28,0,NA,0,0,12:00:00,06:32:04,2334.0,2e3,2438.0
F:/2015 ZCA Files/NLH_2/NLH_2_SW_988B/SN314111 2015-07-17 log.csv,a:/SN314111 2015-07-17.zca,2015-07-17,20:24:25,06:37:17,0,NA,0,0,12:00:00,06:36:23,2601.0,2200.0,2825.0
F:/2015 ZCA Files/NLH_2/NLH_2_SW_988B/SN314111 2015-07-18 log.csv,a:/SN314111 2015-07-18.zca,2015-07-18,20:23:44,06:38:08,0,NA,0,0,12:00:00,06:35:45,2398.0,2275.0,2356.0
F:/2015 ZCA Files/NLH_2/NLH_2_SW_988B/SN314111 2015-07-19 log.csv,a:/SN314111 2015-07-19.zca,2015-07-19,20:23:01,06:38:59,0,NA,0,0,12:00:00,06:35:00,2338.0,2200.0,2250.0
F:/2015 ZCA Files/NLH_2/NLH_2_SW_988B/SN314111 2015-07-20 log.csv,a:/SN314111 2015-07-20.zca,2015-07-20,20:22:16,06:39:51,0,NA,0,0,12:00:00,06:39:17,1822.0,1500.0,1844.0
F:/2015 ZCA Files/NLH_2/NLH_2_SW_988B/SN314111 2015-07-21 log.csv,a:/SN314111 2015-07-21.zca,2015-07-21,20:21:29,06:40:44,0,NA,0,0,12:00:00,06:38:30,1805.0,1625.0,1788.0
F:/2015 ZCA Files/NLH_2/NLH_2_SW_988B/SN314111 2015-07-22 log.csv,a:/SN314111 2015-07-22.zca,2015-07-22,20:20:41,06:41:37,0,NA,1,1,12:00:00,06:37:43,2021.0,1750.0,2100.0
F:/2015 ZCA Files/NLH_3/NLH_3_NE_BAT_042/SN314240 2015-07-23 log.csv,a:/SN314240 2015-07-23.zca,2015-07-23,20:23:29,06:40:30,0,NA,0,0,14:15:55,06:35:31,2387.0,2275.0,2425.0
F:/2015 ZCA Files/NLH_3/NLH_3_NE_BAT_042/SN314240 2015-07-24 log.csv,a:/SN314240 2015-07-24.zca,2015-07-24,20:22:35,06:41:26,0,NA,0,0,12:00:00,06:39:35,2344.0,2075.0,2269.0
F:/2015 ZCA Files/NLH_3/NLH_3_NE_BAT_042/SN314240 2015-07-25 log.csv,a:/SN314240 2015-07-25.zca,2015-07-25,20:21:39,06:42:24,0,NA,0,0,12:00:00,06:38:41,2077.0,1825.0,2175.0
F:/2015 ZCA Files/NLH_3/NLH_3_NE_BAT_042/SN314240 2015-07-26 log.csv,a:/SN314240 2015-07-26.zca,2015-07-26,20:20:41,06:43:22,0,NA,0,0,12:00:00,06:42:42,2501.0,2400.0,2525.0
F:/2015 ZCA Files/NLH_3/NLH_3_NE_BAT_042/SN314240 2015-07-27 log.csv,a:/SN314240 2015-07-27.zca,2015-07-27,20:19:42,06:44:20,0,NA,0,0,12:00:00,06:41:45,2405.0,2100.0,2425.0
F:/2015 ZCA Files/NLH_3/NLH_3_NE_BAT_042/SN314240 2015-07-28 log.csv,a:/SN314240 2015-07-28.zca,2015-07-28,20:18:40,06:45:19,0,NA,0,0,12:00:00,06:40:42,1497.0,1125.0,1481.0
F:/2015 ZCA Files/NLH_3/NLH_3_NW_BAT_103/SN314216 2015-07-23 log.csv,a:/SN314216 2015-07-23.zca,2015-07-23,20:23:41,06:40:32,0,NA,0,0,16:11:17,06:35:41,2443.0,2350.0,2438.0
F:/2015 ZCA Files/NLH_3/NLH_3_NW_BAT_103/SN314216 2015-07-24 log.csv,a:/SN314216 2015-07-24.zca,2015-07-24,20:22:47,06:41:29,0,NA,0,0,12:00:00,06:39:48,2473.0,2350.0,2431.0
F:/2015 ZCA Files/NLH_3/NLH_3_NW_BAT_103/SN314216 2015-07-25 log.csv,a:/SN314216 2015-07-25.zca,2015-07-25,20:21:51,06:42:26,0,NA,1,1,12:00:00,06:38:53,2205.0,1975.0,2275.0
F:/2015 ZCA Files/NLH_3/NLH_3_NW_BAT_103/SN314216 2015-07-26 log.csv,a:/SN314216 2015-07-26.zca,2015-07-26,20:20:53,06:43:24,0,NA,0,0,12:00:00,06:42:56,2543.0,2475.0,2525.0
F:/2015 ZCA Files/NLH_3/NLH_3_NW_BAT_103/SN314216 2015-07-27 log.csv,a:/SN314216 2015-07-27.zca,2015-07-27,20:19:53,06:44:23,0,NA,2,2,12:00:00,06:41:56,2487.0,2200.0,2500.0
